DS_SETOR;DS_CIDADE;COD_DESTINACAO_IMOVEL;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2020;65;432000;701000.0;1386.93;647.234;462.31;6;OBSTRUIDO;269000.0;62.268518518518526
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2020;66;432000;901000.0;1383.45;645.61;461.15;8;VAGO;469000.0;108.56481481481481
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2020;67;105000;107000.0;273.0;127.4;91.0;1;VAGO;2000.0;1.9047619047619049
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2020;69;105000;105000.0;273.0;127.4;91.0;1;VAGO;0.0;0.0
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;03/2020;70;80800;131499.0;149.18;104.426;74.59;3;VAGO;50699.0;62.74628712871287
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;03/2020;72;61500;115000.0;108.96;76.272;54.48;4;VAGO;53500.0;86.99186991869918
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;03/2020;73;55100;57000.0;96.12;67.284;48.06;1;VAGO;1900.0;3.4482758620689653
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;03/2020;74;57000;80000.0;100.0;70.0;50.0;4;VAGO;23000.0;40.35087719298245
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60223;03/2020;75;1870000;2108000.0;6474.975;3625.986;2589.99;2;OCUPADO;238000.0;12.727272727272727
QS-SAMAMBAIA;SAMAMBAIA;60219;03/2020;79;166000;171923.0;900.0;600.0;300.0;1;VAGO;5923.0;3.5680722891566266
QS-SAMAMBAIA;SAMAMBAIA;60219;03/2020;80;166000;176329.0;900.0;600.0;300.0;1;VAGO;10329.0;6.2222891566265055
QN-SAMAMBAIA;SAMAMBAIA;60220;03/2020;81;151000;163013.0;450.0;300.0;150.0;1;VAGO;12013.0;7.9556291390728475
QN-SAMAMBAIA;SAMAMBAIA;60220;03/2020;89;846000;948799.0;3022.5;2015.0;1007.5;2;VAGO;102799.0;12.151182033096926
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;03/2020;93;150000;160000.0;560.0;560.0;280.0;1;OCUPADO;10000.0;6.666666666666667
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;03/2020;94;112000;223000.0;400.0;400.0;200.0;11;VAGO;111000.0;99.10714285714286
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;03/2020;95;112000;178000.0;400.0;400.0;200.0;2;OBSTRUIDO;66000.0;58.92857142857143
SOBRADINHO                                   ;SOBRADINHO;60214;03/2020;100;328600;331000.0;735.0;735.0;350.0;1;OCUPADO;2400.0;0.7303712720632989
BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60213;04/2020;1;805000;806000.0;1440.0;1440.0;480.0;2;CERCADO;1000.0;0.12422360248447205
SETOR DE HABITACOES INDIVIDUAIS NORTE        ;BRASILIA;60211;04/2020;7;841000;850100.0;1037.862;1037.862;741.33;3;OBSTRUIDO;9100.0;1.0820451843043997
SETOR DE HABITACOES INDIVIDUAIS NORTE        ;BRASILIA;60219;04/2020;8;3740000;5319999.0;14582.592;9721.728;12152.16;1;OBSTRUIDO;1579999.0;42.245962566844916
SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;04/2020;15;135000;171000.0;300.0;300.0;150.0;2;OBSTRUIDO;36000.0;26.666666666666668
SETOR CENTRAL                                ;GAMA;60213;04/2020;16;910000;1351000.0;4160.0;4160.0;520.0;2;VAGO;441000.0;48.46153846153846
SETOR CENTRAL                                ;GAMA;60213;04/2020;17;910000;1311000.0;4160.0;4160.0;520.0;2;VAGO;401000.0;44.065934065934066
SETOR CENTRAL                                ;GAMA;60213;04/2020;18;910000;2101000.0;4160.0;4160.0;520.0;5;OBSTRUIDO;1191000.0;130.87912087912088
SETOR CENTRAL                                ;GAMA;60213;04/2020;19;910000;1715000.0;4160.0;4160.0;520.0;4;VAGO;805000.0;88.46153846153845
SETOR LESTE                                  ;GAMA;60214;04/2020;20;58000;152500.0;550.0;550.0;275.0;52;CERCADO;94500.0;162.93103448275863
SETOR CENTRAL                                ;GAMA;60216;04/2020;21;230000;463000.0;432.0;216.0;108.0;10;CONSTRUIDO;233000.0;101.30434782608695
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60213;04/2020;28;8785000;9051000.0;9450.0;8100.0;2700.0;2;VAGO;266000.0;3.0278884462151394
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60213;04/2020;29;10347000;10616000.0;11130.0;9540.0;3180.0;2;OBSTRUIDO;269000.0;2.5997873779839566
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;04/2020;30;201000;251000.0;345.6;345.6;144.0;8;CERCADO;50000.0;24.875621890547265
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;04/2020;33;410000;480000.0;1350.0;1350.0;900.0;10;VAGO;70000.0;17.073170731707318
